market,corrs,vols,mids,dates
Maniema_SKivu,-0.699292865,0.051364313,2,1/13/2021
Maniema_SKivu,-0.671780392,0.051364313,2,1/20/2021
Maniema_SKivu,-0.667444057,0.051364313,2,1/27/2021
Maniema_SKivu,-0.671218264,0.062027466,2,2/3/2021
Maniema_SKivu,-0.665186205,0.071644854,2,2/10/2021
Maniema_SKivu,-0.660227417,0.07872761,2,2/17/2021
Maniema_SKivu,-0.663747074,0.093792378,2,2/24/2021
Maniema_SKivu,-0.489463013,0.075359327,2,3/3/2021
Maniema_SKivu,-0.485753406,0.075359327,2,3/10/2021
Maniema_SKivu,-0.621404002,0.079457844,2,3/17/2021
Maniema_SKivu,-0.521851705,0.079422689,2,3/24/2021
Maniema_SKivu,-0.516341825,0.080517609,2,3/31/2021
Maniema_SKivu,-0.637034618,0.080517609,2,4/7/2021
Maniema_SKivu,-0.291035706,0.08282769,2,4/14/2021
Maniema_SKivu,-0.404476647,0.08282769,2,4/21/2021
Maniema_SKivu,-0.036301518,0.078660727,2,4/28/2021
Maniema_SKivu,-0.043236721,0.071436191,2,5/5/2021
Maniema_SKivu,-0.047892797,0.06181323,2,5/12/2021
Maniema_SKivu,-0.055751812,0.037571074,2,5/19/2021
Maniema_SKivu,-0.027532129,0.037571074,2,5/26/2021
Maniema_SKivu,-0.062341555,0.037571074,2,6/2/2021
Maniema_SKivu,0.218721717,0.0383301,2,6/9/2021
Maniema_SKivu,0.220075828,0.038811799,2,6/16/2021
Maniema_SKivu,0.210574224,0.037327533,2,6/23/2021
Maniema_SKivu,0.245368757,0.037327533,2,6/30/2021
Maniema_SKivu,0.242954497,0.030362562,2,7/7/2021
Maniema_SKivu,0.247053562,0.030362562,2,7/14/2021
Maniema_SKivu,0.213906405,0.030362562,2,7/21/2021
Maniema_SKivu,0.22627481,0.033219815,2,7/28/2021
Maniema_SKivu,0.219571641,0.039356533,2,8/4/2021
Maniema_SKivu,0.250618973,0.049812712,2,8/11/2021
Maniema_SKivu,0.433500895,0.049819241,2,8/18/2021
Maniema_SKivu,0.408777082,0.049819241,2,8/25/2021
Maniema_SKivu,0.187527039,0.039497853,2,9/1/2021
Maniema_SKivu,0.074659618,0.065877643,2,9/8/2021
Maniema_SKivu,-0.021323114,0.065877643,2,9/15/2021
Maniema_SKivu,0.030939581,0.065877643,2,9/22/2021
Maniema_SKivu,-0.071485244,0.065877643,2,9/29/2021
Maniema_SKivu,-0.107609394,0.065877643,2,10/6/2021
Maniema_SKivu,-0.078482692,0.065877643,2,10/13/2021
Maniema_SKivu,-0.305155795,0.063966326,2,10/20/2021
Maniema_SKivu,-0.127245001,0.058493813,2,10/27/2021
Maniema_SKivu,-0.209566126,0.052734295,2,11/3/2021
Maniema_SKivu,-0.197138431,0.052723735,2,11/10/2021
Maniema_SKivu,-0.241407822,0.052723735,2,11/17/2021
Maniema_SKivu,-0.184282256,0.05271514,2,11/24/2021
Maniema_SKivu,-0.177585309,0.082984055,2,12/15/2021
Maniema_SKivu,-0.180629023,0.082984055,2,12/22/2021
Maniema_SKivu,-0.152933083,0.122575573,2,12/29/2021
Maniema_SKivu,-0.164619943,0.122575573,2,1/5/2022
Maniema_SKivu,-0.105495157,0.122575573,2,1/12/2022
Maniema_SKivu,-0.010748988,0.122575573,2,1/19/2022
Maniema_SKivu,0.197945427,0.122575573,2,1/26/2022
Maniema_SKivu,0.203632354,0.122575573,2,2/2/2022
Maniema_SKivu,0.402520989,0.122575573,2,2/9/2022
Maniema_SKivu,0.434487223,0.122575573,2,2/16/2022
Maniema_SKivu,0.320501746,0.122575573,2,2/23/2022
Maniema_SKivu,0.338386785,0.122575573,2,3/2/2022
Maniema_SKivu,0.32912613,0.082984055,2,3/9/2022
Maniema_SKivu,0.327332379,0.082984055,2,3/16/2022
Maniema_SKivu,0.268632919,0.05271514,2,4/20/2022
Maniema_SKivu,0.456779855,0.052739179,2,4/27/2022
Maniema_SKivu,0.156489937,0.057961653,2,5/4/2022
Maniema_SKivu,0.128410317,0.069260965,2,5/11/2022
Maniema_SKivu,0.089921476,0.069260965,2,5/18/2022
Maniema_SKivu,0.136387002,0.069260965,2,5/25/2022
Maniema_SKivu,0.054299161,0.069260965,2,6/1/2022
Maniema_SKivu,0.059232098,0.069260965,2,6/8/2022
Maniema_SKivu,0.021444318,0.069260965,2,6/15/2022
Maniema_SKivu,0.144401938,0.069260965,2,6/22/2022
Maniema_SKivu,0.182847105,0.069260965,2,6/29/2022
Maniema_SKivu,0.362215854,0.073315847,2,7/6/2022
Maniema_SKivu,0.714664805,0.054607522,2,7/13/2022
Maniema_SKivu,0.319701519,0.082081779,2,7/20/2022
Maniema_SKivu,0.292434005,0.078547811,2,7/27/2022
Maniema_SKivu,0.110326774,0.06871505,2,8/3/2022
Maniema_SKivu,0.11042919,0.06871505,2,8/10/2022
Maniema_SKivu,0.0506204,0.06871505,2,8/17/2022
Maniema_SKivu,0.035312969,0.06871505,2,8/24/2022
